method,contrast_id,effect_type,program,k,estimate,se_hksj,ci_low,ci_high,p,tau2,i2,q,q_p,prediction_low,prediction_high,max_weight_fraction,direction_concordance,n_study_fdr_le_005,all_study_effects_same_sign,datasets,study_effects,study_fdr,meta_fdr
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_DNA_REPAIR,3,-0.53692482630566452,0.38921127500178776,-2.2115657811413749,1.1377161285300461,0.30172809989352606,0,0,0.00098005233543204447,0.99951009387549761,-5.4823229721059716,4.4084733194946422,0.49671200131861171,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.556112850844;GSE234774:-0.527176325569;GSE304399:-0.535191194765,GSE162610:0.81659671073;GSE234774:0.450713670205;GSE304399:0.849605262796,0.64400803884509861
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_INFLAMMATORY_RESPONSE,3,-0.27206499379624127,0.21598815236464064,-1.2013870071615051,0.65725701956902249,0.33488418019945132,0,0,0.52831696681236773,0.76785183823836467,-3.0164546783294597,2.4723246907369774,0.52666377757093308,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.440645339392;GSE234774:-0.434392337634;GSE304399:-0.123247270661,GSE162610:0.731677038255;GSE234774:0.450713670205;GSE304399:0.883290794166,0.64400803884509861
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_KRAS_SIGNALING_DN,3,-0.66096350935520676,0.4711885356780578,-2.6883241486170539,1.3663971299066406,0.29577456727856616,0.17564692224903056,21.916600780402081,2.5613639006356501,0.27784775746457918,-8.6735888865560842,7.35166186784567,0.36293664678014875,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:0.110009091926;GSE234774:-1.38368631078;GSE304399:-0.728269870762,GSE162610:0.947012627743;GSE234774:0.182256530603;GSE304399:0.836937417158,0.64400803884509861
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,3,-0.39900417690076179,0.29609564805449734,-1.6730009252693807,0.87499257146785725,0.31016188661637739,0,0,1.0156913859909851,0.60179062510666537,-4.1612561025715316,3.3632477487700077,0.41302536203323287,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.258723828747;GSE234774:-0.76291453906;GSE304399:-0.0146199940719,GSE162610:0.889261611646;GSE234774:0.248733233819;GSE304399:0.987597909201,0.64400803884509861
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_SPERMATOGENESIS,3,-0.49060743275864216,0.3883482292219278,-2.1615350013137395,1.1803201357964554,0.333800085854218,0,0,1.8623889116413117,0.39408271474341972,-5.4250395421833568,4.4438246766660727,0.40419584321643603,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:0.35913702632;GSE234774:-0.98643203659;GSE304399:-0.527254066399,GSE162610:0.921373183737;GSE234774:0.248733233819;GSE304399:0.849605262796,0.64400803884509861
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_TGF_BETA_SIGNALING,3,-0.46807057274795066,0.36887079291261504,-2.0551934967982621,1.1190523513023609,0.33215957207290137,0.22930084470368392,59.916488040308266,4.9895827541539139,0.082513663837968015,-8.1484064886485736,7.2122653431526729,0.4380315542091448,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:-0.766764464573;GSE234774:-0.917231974259;GSE304399:0.0499042264801,GSE162610:0.731677038255;GSE234774:0.147368392185;GSE304399:0.979966786563,0.64400803884509861
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_IL2_STAT5_SIGNALING,3,-0.23656002760569531,0.20465550909652455,-1.1171216124781225,0.64400155726673192,0.36715257565979853,0,0,1.258295246451927,0.53304596341936628,-2.8369548265721987,2.3638347713608079,0.53788428175132097,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.459305362074;GSE234774:-0.506762564174;GSE304399:-0.0242983409044,GSE162610:0.731677038255;GSE234774:0.384913982228;GSE304399:0.987597909201,0.67991217714777508
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_MITOTIC_SPINDLE,3,0.34757037486636722,0.36424252492386688,-1.219638719288145,1.9147794690208795,0.44067464351057145,0,0,0.65027487729424349,0.72242805728381398,-4.2805697204374988,4.9757104701702337,0.43203377930660269,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:0.47107860511;GSE234774:0.0197397583705;GSE304399:0.660204693572,GSE162610:0.889261611646;GSE234774:0.972259675833;GSE304399:0.79320491995,0.75128400951450103
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3,-0.33264953408412479,0.37222395258517726,-1.934199939752872,1.2689008715846226,0.46579608589899069,0,0,0.53316468557014318,0.76599292713831302,-5.0622032833395689,4.39690421517132,0.54659610637538281,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.0499699245963;GSE234774:-0.579958801406;GSE304399:-0.0149233945506,GSE162610:0.947551037868;GSE234774:0.39310877837;GSE304399:0.987597909201,0.75128400951450103
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_UV_RESPONSE_DN,3,-0.2843670258210062,0.31152822030691352,-1.6247647733185395,1.056030721676527,0.45769812696004752,0,0,0.62472972227004964,0.73171450533320659,-4.2427083741367841,3.6739743224947716,0.51318016082728557,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:-0.689237965578;GSE234774:-0.384356168495;GSE304399:0.0226803482789,GSE162610:0.799709872713;GSE234774:0.466921708875;GSE304399:0.987597909201,0.75128400951450103
