dataset,method,myc_program,contrast_id,estimate_adjusted,se,df_residual,ci_low,ci_high,nominal_p,direction,expected_direction,expected_direction_retained,design_rank,design_columns,condition_number,max_vif,vif_E2F,vif_G2M,vif_dpi_1,vif_dpi_7,evaluable,status,reason,nominal_p_fdr_within_method_contrast
GSE162610,magnitude_mean_z,HALLMARK_MYC_TARGETS_V2,injury_d7_vs_uninjured,-0.56261878757884,0.22981330237533953,3.0,-1.2939872826282868,0.1687497074706068,0.09183014015168117,-1,1,False,5,5,6.897620179902511,10.642551084194377,10.642551084194377,7.212461206056351,2.5007787501494425,1.5441370967703383,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.18366028030336234
GSE162610,magnitude_mean_z,HALLMARK_MYC_TARGETS_V2,change_d7_minus_d1,-2.1937872229250996,0.3277898189380991,3.0,-3.2369607211142686,-1.1506137247359305,0.006804952097204256,-1,-1,True,5,5,6.897620179902511,10.642551084194377,10.642551084194377,7.212461206056351,2.5007787501494425,1.5441370967703383,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.02041485629161277
GSE234774,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,1.0307767127798755,0.36039755126577555,3.0,-0.11616914267918754,2.1777225682389387,0.06457113412429369,1,1,True,5,5,19.54122385218567,90.96192970477864,87.83473243648697,90.96192970477864,2.8785977796917748,2.1024872051012418,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.06457113412429369
GSE234774,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,0.581742553710271,0.3443602589464454,3.0,-0.514165480060385,1.6776505874809269,0.18973555694110925,1,1,True,5,5,19.54122385218567,90.96192970477864,87.83473243648697,90.96192970477864,2.8785977796917748,2.1024872051012418,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.2276826683293311
GSE234774,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,-0.44903415906960453,0.2920527287057917,3.0,-1.3784762864873763,0.48040796834816724,0.22177051559766991,-1,-1,True,5,5,19.54122385218567,90.96192970477864,87.83473243648697,90.96192970477864,2.8785977796917748,2.1024872051012418,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.2661246187172039
GSE234774,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,injury_d1_vs_uninjured,1.5265915862330361,0.48837475500892963,3.0,-0.027634848438967907,3.08081802090504,0.052233105024928825,1,1,True,5,5,19.54122385218567,90.96192970477864,87.83473243648697,90.96192970477864,2.8785977796917748,2.1024872051012418,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.06267972602991459
GSE234774,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,injury_d7_vs_uninjured,0.8586278445231975,0.46664261870569596,3.0,-0.6264372332646585,2.3436929223110536,0.16303598851704873,1,1,True,5,5,19.54122385218567,90.96192970477864,87.83473243648697,90.96192970477864,2.8785977796917748,2.1024872051012418,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.2276826683293311
GSE234774,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,change_d7_minus_d1,-0.6679637417098386,0.39576067964512024,3.0,-1.9274508544230207,0.5915233710033433,0.19003425418623102,-1,-1,True,5,5,19.54122385218567,90.96192970477864,87.83473243648697,90.96192970477864,2.8785977796917748,2.1024872051012418,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.2661246187172039
GSE234774,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,1.4955212499588428,0.8544927828309726,3.0,-1.2238561496531795,4.214898649570865,0.17839196018167422,1,1,True,5,5,35.26603572100105,272.20970088149056,206.27518681558428,272.20970088149056,13.068195078995664,11.484998902432762,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.21407035221800905
GSE234774,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,0.9551734692778977,0.8956144254184004,3.0,-1.8950713498536818,3.805418288409477,0.3644080753962113,1,1,True,5,5,35.26603572100105,272.20970088149056,206.27518681558428,272.20970088149056,13.068195078995664,11.484998902432762,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.5466121130943169
