program,dataset,method,contrast_id,effect_type,estimate,se,df_residual,ci_low,ci_high,p,fdr,n_num,n_den,n_genes_observed
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE304399,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,1.03595848717369,0.815118329956685,36.0,-0.617178107900667,2.68909508224805,0.211904878778022,0.276054875654548,3,3,167
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE162610,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,1.55312849907813,0.195700650500034,6.99925405479176,1.09035999692488,2.01589700123138,9.59780070858008e-05,0.0002647098001726,3,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE234774,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,1.81395922234356,0.448916148728414,14.700081531559,0.855413986013117,2.77250445867401,0.0011081957264147,0.0022163914528294,3,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE304399,magnitude_mean_z,injury_d1_vs_uninjured,endpoint,0.995209434147203,0.815118329956685,36.0,-0.657927160927154,2.64834602922156,0.230045729712123,0.276054875654548,3,3,45
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE162610,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,-0.77393945335113,0.204581291004754,6.99925405479176,-1.25770778710448,-0.290171119597781,0.0068663191060171,0.0254796142107379,2,3,142
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE234774,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,0.592792886313187,0.52402196237491,14.700081531559,-0.526121541670295,1.71170731429667,0.276073624976966,0.437428664691633,2,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_E2F_G2M,GSE304399,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,0.601356478739784,0.815118329956685,36.0,-1.05178011633457,2.25449307381414,0.465446194169374,0.558535433003248,3,3,141
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE162610,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,-0.792637300342478,0.218861400366586,6.99925405479176,-1.31017345654851,-0.275101144136448,0.0084932047369126,0.0254796142107379,2,3,169
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE234774,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,0.58074957761608,0.530919604676163,14.700081531559,-0.552892995453083,1.71439215068524,0.291619109794422,0.437428664691633,2,3,168
HALLMARK_MYC_TARGETS_V1__EXCL_OTHER_FOCAL,GSE304399,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,0.753488684116273,0.815118329956685,36.0,-0.899647910958084,2.40662527919063,0.361437415703684,0.558535433003248,3,3,167
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE162610,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,-0.677120158988189,0.218799978879502,6.99925405479176,-1.1945110733184,-0.159729244657978,0.0174538887854985,0.0270547175456038,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE234774,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,0.343253554870812,0.50190351237707,14.700081531559,-0.728432599100925,1.41493970884255,0.504675015796166,0.6056100189554,2,3,45
HALLMARK_MYC_TARGETS_V2__EXCL_E2F_G2M,GSE304399,magnitude_mean_z,injury_d7_vs_uninjured,endpoint,0.344590289358161,0.815118329956685,36.0,-1.3085463057162,1.99772688443252,0.674993127456586,0.674993127456586,3,3,45
