PROBEID,SYMBOL,probe_iqr,selection_rule
1424447_at,1700030K09Rik,0.0275217730508439,maximum_across_sample_IQR_then_lexicographic_probe_id
1432116_at,1700031F05Rik,0.0533917964250641,maximum_across_sample_IQR_then_lexicographic_probe_id
1432551_at,1700031F10Rik,0.149670501652265,maximum_across_sample_IQR_then_lexicographic_probe_id
1429611_at,1700034E13Rik,0.0870023721395485,maximum_across_sample_IQR_then_lexicographic_probe_id
1430060_at,1700034G24Rik,0.151332328748948,maximum_across_sample_IQR_then_lexicographic_probe_id
1444093_at,1700034H15Rik,0.0739073890963726,maximum_across_sample_IQR_then_lexicographic_probe_id
1454251_at,1700034J04Rik,0.135034176789031,maximum_across_sample_IQR_then_lexicographic_probe_id
1429875_at,1700034J05Rik,0.115338124266668,maximum_across_sample_IQR_then_lexicographic_probe_id
1459255_at,1700034P13Rik,0.0448741849645744,maximum_across_sample_IQR_then_lexicographic_probe_id
1431918_at,1700036A12Rik,0.0628326152876921,maximum_across_sample_IQR_then_lexicographic_probe_id
1431501_at,1700037C18Rik,0.179437444845563,maximum_across_sample_IQR_then_lexicographic_probe_id
1458569_at,1700037F03Rik,0.202685257554998,maximum_across_sample_IQR_then_lexicographic_probe_id
1432780_at,1700037N05Rik,0.160515450343427,maximum_across_sample_IQR_then_lexicographic_probe_id
1454548_at,1700039M15Rik,0.192653263292453,maximum_across_sample_IQR_then_lexicographic_probe_id
1439559_at,1700040D17Rik,0.23394994272407,maximum_across_sample_IQR_then_lexicographic_probe_id
1432476_at,1700040F17Rik,0.172969163799617,maximum_across_sample_IQR_then_lexicographic_probe_id
1430166_at,1700042D18Rik,0.0572980172809459,maximum_across_sample_IQR_then_lexicographic_probe_id
1430105_at,1700042O10Rik,0.0990593367694688,maximum_across_sample_IQR_then_lexicographic_probe_id
1432557_at,1700045I11Rik,0.203379457257416,maximum_across_sample_IQR_then_lexicographic_probe_id
1438044_at,1700047M11Rik,0.700090869746219,maximum_across_sample_IQR_then_lexicographic_probe_id
1433190_at,1700048B10Rik,0.0714033185380956,maximum_across_sample_IQR_then_lexicographic_probe_id
1432345_at,1700048F04Rik,0.143816516625859,maximum_across_sample_IQR_then_lexicographic_probe_id
1442131_at,1700048M11Rik,0.214211064863882,maximum_across_sample_IQR_then_lexicographic_probe_id
1457426_at,1700048O20Rik,0.168397585629357,maximum_across_sample_IQR_then_lexicographic_probe_id
1430323_at,1700049E17Rik1,0.265391398801903,maximum_across_sample_IQR_then_lexicographic_probe_id
1454277_at,1700049J03Rik,0.178061207203176,maximum_across_sample_IQR_then_lexicographic_probe_id
1440520_a_at,1700051A21Rik,0.138023474492611,maximum_across_sample_IQR_then_lexicographic_probe_id
1447572_at,1700052I22Rik,0.135142725523574,maximum_across_sample_IQR_then_lexicographic_probe_id
1429136_at,1700052K11Rik,0.0792439127033946,maximum_across_sample_IQR_then_lexicographic_probe_id
1457982_at,1700052M18Rik,0.13850446469965,maximum_across_sample_IQR_then_lexicographic_probe_id
1440775_at,1700054K19Rik,0.140527180731395,maximum_across_sample_IQR_then_lexicographic_probe_id
1432452_at,1700054O19Rik,0.122509057436026,maximum_across_sample_IQR_then_lexicographic_probe_id
1429677_at,1700056E22Rik,0.0504002911283692,maximum_across_sample_IQR_then_lexicographic_probe_id
1432356_at,1700056N10Rik,0.105697894358429,maximum_across_sample_IQR_then_lexicographic_probe_id
1445737_at,1700057H21Rik,0.096199751783284,maximum_across_sample_IQR_then_lexicographic_probe_id
1430499_at,1700058M13Rik,0.0579090735748378,maximum_across_sample_IQR_then_lexicographic_probe_id
1453476_at,1700060J05Rik,0.126534710790872,maximum_across_sample_IQR_then_lexicographic_probe_id
1459796_at,1700061E18Rik,0.0714517689766607,maximum_across_sample_IQR_then_lexicographic_probe_id
1444605_at,1700061F12Rik,0.211881989099209,maximum_across_sample_IQR_then_lexicographic_probe_id
1430405_at,1700061I17Rik,0.111751182505192,maximum_across_sample_IQR_then_lexicographic_probe_id
1441773_at,1700061N14Rik,0.108786977026655,maximum_across_sample_IQR_then_lexicographic_probe_id
1457421_at,1700063D05Rik,0.318273102555874,maximum_across_sample_IQR_then_lexicographic_probe_id
1431245_at,1700063H04Rik,0.156553820047372,maximum_across_sample_IQR_then_lexicographic_probe_id
1441875_at,1700063J08Rik,0.0899786938322409,maximum_across_sample_IQR_then_lexicographic_probe_id
1432422_at,1700063K16Rik,0.343701020772556,maximum_across_sample_IQR_then_lexicographic_probe_id
1453667_at,1700065D16Rik,0.101045020097877,maximum_across_sample_IQR_then_lexicographic_probe_id
1440839_x_at,1700065I16Rik,0.0218130228152575,maximum_across_sample_IQR_then_lexicographic_probe_id
1432564_at,1700066C05Rik,0.144781445872533,maximum_across_sample_IQR_then_lexicographic_probe_id
1444567_at,1700066J03Rik,0.0744943196766359,maximum_across_sample_IQR_then_lexicographic_probe_id
1434422_at,1700066M21Rik,0.496273702876957,maximum_across_sample_IQR_then_lexicographic_probe_id
1454124_at,1700067K01Rik,0.117898909222641,maximum_across_sample_IQR_then_lexicographic_probe_id
1420724_at,1700067P10Rik,0.174738610222256,maximum_across_sample_IQR_then_lexicographic_probe_id
1432553_at,1700069L16Rik,0.106900815367116,maximum_across_sample_IQR_then_lexicographic_probe_id
1448563_at,1700071K01Rik,0.31238340564553,maximum_across_sample_IQR_then_lexicographic_probe_id
1432126_at,1700072H12Rik,0.101884624910967,maximum_across_sample_IQR_then_lexicographic_probe_id
1420257_at,1700073E17Rik,0.188466655086867,maximum_across_sample_IQR_then_lexicographic_probe_id
1430055_at,1700080G18Rik,0.235230441748819,maximum_across_sample_IQR_then_lexicographic_probe_id
1432138_at,1700080N15Rik,0.0981591263943806,maximum_across_sample_IQR_then_lexicographic_probe_id
1454345_at,1700081H04Rik,0.102115295809074,maximum_across_sample_IQR_then_lexicographic_probe_id
1447565_at,1700082C02Rik,0.154926234215779,maximum_across_sample_IQR_then_lexicographic_probe_id
1432576_at,1700084C06Rik,0.191071213519106,maximum_across_sample_IQR_then_lexicographic_probe_id
1430508_at,1700084F23Rik,0.155540691599285,maximum_across_sample_IQR_then_lexicographic_probe_id
1432398_at,1700084J12Rik,0.124998599443582,maximum_across_sample_IQR_then_lexicographic_probe_id
1433405_at,1700084K02Rik,0.170730673518428,maximum_across_sample_IQR_then_lexicographic_probe_id
1432319_at,1700085C21Rik,0.114215771299611,maximum_across_sample_IQR_then_lexicographic_probe_id
1453348_at,1700085D22Rik,0.349304832246522,maximum_across_sample_IQR_then_lexicographic_probe_id
1432307_at,1700086D15Rik,0.0893414512489468,maximum_across_sample_IQR_then_lexicographic_probe_id
1455085_at,1700086L19Rik,0.228823026162297,maximum_across_sample_IQR_then_lexicographic_probe_id
1443633_at,1700086O06Rik,0.118033416587848,maximum_across_sample_IQR_then_lexicographic_probe_id
1453479_at,1700086P04Rik,0.0143323984845045,maximum_across_sample_IQR_then_lexicographic_probe_id
1422774_at,1700088E04Rik,0.0820511129598138,maximum_across_sample_IQR_then_lexicographic_probe_id
1449832_at,1700091H14Rik,0.34938097692539,maximum_across_sample_IQR_then_lexicographic_probe_id
1432501_at,1700092E16Rik,0.102537926042777,maximum_across_sample_IQR_then_lexicographic_probe_id
1457210_at,1700092E19Rik,0.172488623696169,maximum_across_sample_IQR_then_lexicographic_probe_id
1458673_at,1700093J21Rik,0.322413613106347,maximum_across_sample_IQR_then_lexicographic_probe_id
1420702_at,1700093K21Rik,0.101413044383672,maximum_across_sample_IQR_then_lexicographic_probe_id
1460266_at,1700094J05Rik,0.10196500820672,maximum_across_sample_IQR_then_lexicographic_probe_id
1433328_at,1700095A21Rik,0.208684680595554,maximum_across_sample_IQR_then_lexicographic_probe_id
1430157_at,1700095J03Rik,0.0199339881423386,maximum_across_sample_IQR_then_lexicographic_probe_id
1440953_at,1700096K18Rik,0.2734763110715,maximum_across_sample_IQR_then_lexicographic_probe_id
1460489_at,1700097M23Rik,0.0972966009855805,maximum_across_sample_IQR_then_lexicographic_probe_id
1455692_x_at,1700097N02Rik,0.117266942376643,maximum_across_sample_IQR_then_lexicographic_probe_id
1441817_at,1700099I09Rik,0.12881951896929,maximum_across_sample_IQR_then_lexicographic_probe_id
1453679_at,1700100I10Rik,0.0877220022524647,maximum_across_sample_IQR_then_lexicographic_probe_id
1455589_at,1700100M05Rik,0.175951178035023,maximum_across_sample_IQR_then_lexicographic_probe_id
1433425_at,1700101I19Rik,0.120956247789424,maximum_across_sample_IQR_then_lexicographic_probe_id
1432239_at,1700102J08Rik,0.127821766185433,maximum_across_sample_IQR_then_lexicographic_probe_id
1419531_at,1700102P08Rik,0.145929197369124,maximum_across_sample_IQR_then_lexicographic_probe_id
1453508_at,1700104B16Rik,0.117632118767051,maximum_across_sample_IQR_then_lexicographic_probe_id
1430061_at,1700105P06Rik,0.190002513632765,maximum_across_sample_IQR_then_lexicographic_probe_id
1430202_at,1700108F19Rik,0.152056644498596,maximum_across_sample_IQR_then_lexicographic_probe_id
1453447_at,1700109H08Rik,0.202233167616297,maximum_across_sample_IQR_then_lexicographic_probe_id
1432371_a_at,1700109K24Rik,0.0703884713488474,maximum_across_sample_IQR_then_lexicographic_probe_id
1453046_at,1700110I01Rik,0.231483862020507,maximum_across_sample_IQR_then_lexicographic_probe_id
1447744_s_at,1700110K17Rik,0.0644503780661552,maximum_across_sample_IQR_then_lexicographic_probe_id
1432440_at,1700111E14Rik,0.0690568236782867,maximum_across_sample_IQR_then_lexicographic_probe_id
1432256_at,1700111N16Rik,0.0739073890963726,maximum_across_sample_IQR_then_lexicographic_probe_id
1429674_at,1700113H08Rik,0.114973818133048,maximum_across_sample_IQR_then_lexicographic_probe_id
1432809_at,1700113P08Rik,0.161257034595967,maximum_across_sample_IQR_then_lexicographic_probe_id
